text
Quote #1 Landail: You attacking me in game! Dragonsoul: :O I'll revive later though! :D - Late 2016 //prints the specific quote #
"Quote #2 So, my uncle died. Guess it's adventuring time! - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #3 Looks like I got a really long password... They knew I hated those. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #4 Start just pauses... like, what is this, a PowerPoint presentation? - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #5 That's going to... I can see that causing a lot of accidental murdering. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #6 A magical artifact brought from our homeland... sounds like something I'd sell for five gold. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #7 Much is food... It doesn't even ask you. Rude. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #8 Used to pressing 'A' when I want to talk... old habits die hard, especially when they lead to murder. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #9 How fast do we use our food anyways? - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #10 I love the forest. By the way, I love the forest. Good to know, buddy. Tell me something new. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #11 God controls in this game man. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #12 God have all these Orcs attacking me too. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #13 Is there even any like stores in this game? Crap, I obviously have armor and a weapon. I don't know where I got them. I'm done with this. - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #14 EvilYahweh: ""I hearby order you to la di da"" - May 4, 2017 //prints the specific quote #"
Quote #15 I was trying to charge it up...and it just destroyed me. - Landail August 2017 //prints the specific quote #
Quote #16 It's Vai not Vay. - Landail August 2017 //prints the specific quote #
Quote #17 Gau is a built in Game Genie code. - Landail October 2017 //prints the specific quote #
Quote #18 Gau is op as hell man. - Landail October 2017 //prints the specific quote #
"Quote #19 If I was a kid and I got this ..... I would have been like ""it's alright"" - Landail October 2017 //prints the specific quote #"
Quote #20 It's not really a BAD game but... - Landail October 2017 //prints the specific quote #
Quote #21 It's True Gau is the best Waifu - Landail October 2017 //prints the specific quote #
Quote #22 Must find treasure even though I know none is there. - Landail October 2017 //prints the specific quote #
Quote #23 Score! 5 Keys. - Landail October 2017 //prints the specific quote #
Quote #24 What the end? wha? Wow the end. That's just ugh... ughh. wow. wow. That's probably not worth it. - Landail October 2017 //prints the specific quote #
"Quote #25 It's a rock! Rock on. - Landail October 21, 2017 //prints the specific quote #"
"Quote #26 Rej72380: Flying snakes, Lan. I shit you not. - October 21, 2017 //prints the specific quote #"
"Quote #27 TechnoGnome: I like this music, it's very 3 notes looped. - October 21, 2017 //prints the specific quote #"
"Quote #28 Trjack3: We could be the music. Doo do do-do du.. - October 21, 2017 //prints the specific quote #"
"Quote #29 Well you see, back in the day, they had these things that came with games called ""instruction manuals"" - Landail October 26, 2017 //prints the specific quote #"
"Quote #30 Not only did she not die. We killed the king for nothing. - Landail October 27, 2017 //prints the specific quote #"
"Quote #31 What the hell game? The priest? Oh well. - Landail October 27, 2017 //prints the specific quote #"
